small talk_0,How are you?,I'm pretty good! What can I help you?
Payment Methods_6,"Can I use contactless payment methods, such as NFC-enabled cards, for movie ticket purchases?","Yes, we support contactless payment methods, including NFC-enabled cards, for both online and in-person movie ticket transactions."
Payment Methods_7,Is it possible to use a credit card for ticket payment?,"Absolutely, credit card payments are accepted for purchasing movie tickets, both online and at the ticket counter."
Payment Methods_8,Is it okay to pay for the tickets with a credit card?,"Absolutely, credit card payments are accepted for purchasing movie tickets, both online and at the ticket counter."
Payment Methods_9,Is credit card payment an acceptable method for ticket purchases?,"Absolutely, credit card payments are accepted for purchasing movie tickets, both online and at the ticket counter."
Confirmation,How will I receive confirmation of my booking?,
Confirmation,Is there a confirmation email or SMS sent after I book movie tickets online?,
Confirmation,Can I check the status of my movie booking to ensure it's confirmed?,
Confirmation,Are there any reference numbers or codes provided for confirming my movie reservation?,
Confirmation,How do I know if my online movie ticket purchase has been successfully confirmed?,
Confirmation,Is there a way for me to verify that my movie booking is confirmed?,
Confirmation,Could I inquire about the current confirmation status of my movie booking?,
Confirmation,How can I double-check the confirmation status of my movie booking?,
Confirmation,Could I review the specifics of my movie ticket reservation?,
Confirmation,Can I check my booking details?,
Confirmation,May I verify the details of my movie ticket booking?,
Confirmation,I want to check my reservation,
Confirmation,Ｗhat's my reservation details?,
Confirmation,Is it possible to confirm the details of my booked movie tickets?,
Location_1,Where is your cinema located?,"Our cinema is located at 233 Derby Rd, Nottingham NG7 1QN."
Location_2,Where exactly is the cinema located,"You can find our cinema at 233 Derby Rd, Nottingham NG7 1QN. It's centrally located for your convenience."
Location_3,What's the street address of the cinema where the movie is playing?,"The street address of our cinema, where the movie is playing, is 233 Derby Rd, Nottingham NG7 1QN."
Location_4,Could you share the exact location of the movie theatre,"The movie theatre is situated at 233 Derby Rd, Nottingham NG7 1QN. You can easily locate it for an enjoyable movie experience."
Location_5,Where am I able to locate the cinema,"You can locate our cinema at 233 Derby Rd, Nottingham NG7 1QN. It's easily accessible, and we look forward to welcoming you."
Location_6,Could you direct me to the cinema by providing clear location instructions?,"Certainly! Head to 233 Derby Rd, Nottingham NG7 1QN. If you need precise directions, feel free to use a map app or contact our customer service for assistance."
Location_7,Where is the cinema?,"Our cinema is located at 233 Derby Rd, Nottingham NG7 1QN."
Location_8,How can I go to the theatre ,"You can find our cinema at 233 Derby Rd, Nottingham NG7 1QN. It's centrally located for your convenience."
Location_9,How to go there?,"You can find our cinema at 233 Derby Rd, Nottingham NG7 1QN. It's centrally located for your convenience."
Decide movie,I plan to catch Spider-Man on Monday,
Decide movie,"This Tuesday, I'm aiming to watch Joker.",
Decide movie,I'm eager to see Oppenheimer this upcoming Wednesday.,
Decide movie,Mission Impossible is on my watchlist for this Thursday.,
Decide movie,The Friday calls for a screening of Spider-Man.,
Decide movie,Oppenheimer is the movie I'm eyeing for this Sunday.,
Decide movie,"This Monday, I'm making time for Mission Impossible.",
Decide movie,"I've got Joker lined up for my Saturday movie session.
",
Decide movie,"Spider-Man is my movie choice for the upcoming Tuesday.""
",
Decide movie,"I've set aside time to watch Joker this Wednesday.
",
Decide movie,I wanna go for Mission Impossible.,
Decide movie,I want to watch the Spider Man,
Negative response,No this is not what I mean,
Negative response,That's not what I asked for.,
Negative response,"No, you misunderstood my question.",
Negative response,Incorrect. Try again.,
Negative response,This is not the information I was looking for,
Negative response,You're not getting it right.,
Negative response,"Sorry, but that's not helpful.",
Negative response,I'm not satisfied with your response.,
Negative response,This doesn't address my concern.,
Negative response,"No, that's completely off.",
Negative response,Your answer doesn't make sense in this context.,
Negative response,No you are wrong.,
Negative response,You are wrong,
Negative response,wrong,
Positive response,Thanks,
Positive response,Thank you,
Positive response,Thank you for the information.,
Positive response,Thanks for the information.,
Positive response,Thank you for trying to help me,
Positive response,I'm thankful for your info,
Positive response,Got it!,
Positive response,OK,
Positive response,Okay,
Positive response,No problem,
